"RANKING","PAIS","EDAT","TORNEJOS","TITOLS","GUANYS_IND","WIN","LOSE","ATP","GUANYSNORM","GUANYSDISC"
338,"USA",27,15,0,29676,0,0,"NOATP",0.293,"MIG-BAIX"
339,"USA",25,18,0,36977,0,0,"NOATP",0.552,"MIG-BAIX"
340,"UZB",23,22,0,21302,0,3,"ATP",-0.003,"BAIX"
341,"AUS",24,12,0,19737,0,0,"NOATP",-0.059,"BAIX"
342,"CHN",21,17,0,42285,3,1,"ATP",0.74,"MIG-BAIX"
343,"SWE",25,23,0,20698,2,0,"ATP",-0.025,"BAIX"
344,"AUS",23,23,0,63109,0,2,"ATP",1.478,"MIG"
345,"ARG",25,26,0,17648,0,0,"NOATP",-0.133,"BAIX"
346,"USA",33,7,0,69490,2,2,"ATP",1.704,"MIG"
347,"CZE",38,3,0,94064,3,2,"ATP",2.575,"MIG-ALT"
348,"FRA",22,20,0,54909,0,1,"ATP",1.188,"MIG-BAIX"
349,"RUS",23,21,0,18041,0,0,"NOATP",-0.119,"BAIX"
350,"IND",27,20,0,20045,0,0,"NOATP",-0.048,"BAIX"
351,"ESP",24,22,0,17139,0,0,"NOATP",-0.151,"BAIX"
352,"ESP",26,31,0,19174,0,0,"NOATP",-0.079,"BAIX"
353,"JPN",23,35,0,22472,0,0,"NOATP",0.038,"BAIX"
354,"CZE",28,23,0,33782,0,0,"NOATP",0.439,"MIG-BAIX"
355,"JPN",19,18,0,17886,0,0,"NOATP",-0.124,"BAIX"
356,"SRB",29,26,0,59581,1,2,"ATP",1.353,"MIG"
357,"GER",29,26,0,17131,0,0,"NOATP",-0.151,"BAIX"
358,"GBR",29,20,0,25552,0,0,"NOATP",0.147,"BAIX"
359,"BUL",27,22,0,12978,0,0,"NOATP",-0.298,"BAIX"
360,"NED",22,22,0,15168,0,0,"NOATP",-0.221,"BAIX"
361,"BEL",24,26,0,18089,0,0,"NOATP",-0.117,"BAIX"
362,"SUI",36,22,0,92614,2,5,"ATP",2.524,"MIG-ALT"
363,"BLR",28,23,0,22039,0,2,"ATP",0.023,"BAIX"
364,"ESP",32,12,0,32878,0,1,"ATP",0.407,"MIG-BAIX"
365,"IRL",30,15,0,69543,0,0,"NOATP",1.706,"MIG"
366,"JPN",26,24,0,21446,0,0,"NOATP",0.002,"BAIX"
367,"ARG",20,29,0,17284,0,0,"NOATP",-0.146,"BAIX"
368,"FRA",19,29,0,21302,0,0,"NOATP",-0.003,"BAIX"
369,"NED",29,12,0,14658,1,2,"ATP",-0.239,"BAIX"
370,"RSA",26,21,0,15008,3,2,"ATP",-0.226,"BAIX"
371,"FRA",25,22,0,16290,0,0,"NOATP",-0.181,"BAIX"
372,"ESP",27,23,0,13870,0,0,"NOATP",-0.267,"BAIX"
373,"CZE",27,26,0,93086,0,2,"ATP",2.541,"MIG-ALT"
374,"ARG",24,22,0,14708,0,0,"NOATP",-0.237,"BAIX"
375,"IRL",25,26,0,17979,0,0,"NOATP",-0.121,"BAIX"
376,"BRA",24,27,0,13134,0,0,"NOATP",-0.293,"BAIX"
377,"BLR",24,18,0,14598,1,1,"ATP",-0.241,"BAIX"
378,"JPN",24,22,0,11019,0,0,"NOATP",-0.368,"BAIX"
379,"FRA",25,20,0,29670,0,0,"NOATP",0.293,"MIG-BAIX"
380,"BEL",27,22,0,17280,0,0,"NOATP",-0.146,"BAIX"
381,"DOM",27,21,0,29362,2,2,"ATP",0.282,"MIG-BAIX"
382,"ITA",20,23,0,23357,0,0,"NOATP",0.069,"BAIX"
383,"BUL",24,22,0,19728,0,1,"ATP",-0.059,"BAIX"
384,"COL",28,13,0,61949,0,2,"ATP",1.437,"MIG"
385,"FRA",25,18,0,10349,0,0,"NOATP",-0.392,"BAIX"
386,"ESP",28,23,0,18396,0,0,"NOATP",-0.106,"BAIX"
387,"JPN",26,23,0,14983,0,0,"NOATP",-0.227,"BAIX"
388,"AUT",20,28,0,15999,0,0,"NOATP",-0.191,"BAIX"
389,"ARG",34,18,0,63845,1,1,"ATP",1.504,"MIG"
390,"BRA",29,19,0,14733,0,0,"NOATP",-0.236,"BAIX"
